School,Conference,Coach, TotalPay , Bonus , BonusPaid , StadSize ,AssistantPay,Buyout
Air Force,Mt. West,Troy Calhoun," $885,000 "," $247,000 ",," 46,692 ",0,--
Akron,MAC,Terry Bowden," $412,500 "," $225,000 "," $50,000 "," 30,000 ",0,688500
Alabama,SEC,Nick Saban," $8,307,000 "," $1,100,000 "," $500,000 "," 101,821 ",0,33600000
Appalachian State,Sun Belt,Scott Satterfield," $712,500 "," $295,000 "," $145,000 "," 24,050 ",0,3847500
Arizona,Pac-12,Kevin Sumlin," $2,000,000 "," $2,025,000 ",," 51,811 ",0,2160417
Arizona State,Pac-12,Herm Edwards," $2,000,000 "," $3,010,000 ",," 71,706 ",0,10000000
Arkansas,SEC,Chad Morris," $3,500,000 "," $1,000,000 ",," 72,000 ",0,8166667
Arkansas State,Sun Belt,Blake Anderson," $825,000 "," $185,000 "," $25,000 "," 30,964 ",0,12500000
Army,Ind.,Jeff Monken," $932,521 ",,," 38,000 ",0,300000
Auburn,SEC,Gus Malzahn," $6,705,656 "," $1,400,000 "," $375,000 "," 87,451 ",0,--
Ball State,MAC,Mike Neu," $435,689 "," $380,000 "," $30,000 "," 22,500 ",0,32143750
Baylor,Big 12,Matt Rhule,,,," 45,140 ",0,980300
Boise State,Mt. West,Bryan Harsin," $1,650,010 "," $475,000 "," $145,000 "," 37,000 ",0,--
Boston College,ACC,Steve Addazio," $2,514,859 ",,," 44,500 ",0,7784038
Bowling Green,MAC,Mike Jinks," $437,228 "," $245,000 "," $81,250 "," 23,724 ",0,--
Brigham Young,Ind.,Kalani Sitake,,,," 63,725 ",0,874456
Buffalo,MAC,Lance Leipold," $455,500 "," $381,000 ",," 29,013 ",0,--
California,Pac-12,Justin Wilcox," $1,500,000 "," $900,000 "," $75,000 "," 62,717 ",0,1020833
Central Florida,AAC,Josh Heupel," $1,700,000 "," $250,000 ",," 45,301 ",0,7208500
Central Michigan,MAC,John Bonamego," $655,000 "," $415,000 "," $45,000 "," 32,885 ",0,3587500
Charlotte,C-USA,Brad Lambert," $625,000 "," $120,000 ",," 15,314 ",0,1125000
Cincinnati,AAC,Luke Fickell," $2,000,000 "," $625,000 ",," 40,000 ",0,556389
Clemson,ACC,Dabo Swinney," $6,543,350 "," $1,125,000 "," $500,000 "," 81,500 ",0,7100000
Coastal Carolina,Sun Belt,Joe Moglia," $400,000 "," $800,000 "," $25,000 "," 9,214 ",0,35000000
Colorado,Pac-12,Mike MacIntyre," $2,878,500 "," $2,150,000 "," $297,000 "," 50,183 ",0,516667
Colorado State,Mt. West,Mike Bobo," $1,800,000 "," $905,000 "," $50,000 "," 34,400 ",0,10314583
Connecticut,AAC,Randy Edsall," $1,100,000 "," $650,000 "," $129,000 "," 40,000 ",0,8000000
Duke,ACC,David Cutcliffe," $2,540,928 ",,," 33,941 ",0,1000000
East Carolina,AAC,Scottie Montgomery," $1,102,500 "," $850,000 ",," 50,000 ",0,--
Eastern Michigan,MAC,Chris Creighton," $460,000 "," $395,000 "," $10,000 "," 30,200 ",0,1233333
Florida,SEC,Dan Mullen," $6,070,000 "," $925,000 ",," 88,548 ",0,950000
Florida Atlantic,C-USA,Lane Kiffin," $1,000,000 "," $1,150,000 "," $40,000 "," 30,000 ",0,12000000
Florida State,ACC,Willie Taggart," $5,000,000 "," $1,475,000 ",," 82,300 ",0,2850000
Fresno State,Mt. West,Jeff Tedford," $1,550,000 "," $2,765,000 "," $1,240,000 "," 41,031 ",0,3185626
